Cidade;place_id;Região Covid-19;Macrorregião
Bagé;ChIJsWe9dpXYBZURt8pQuacP8EY;Bagé - R22;Sul
Cachoeira do Sul;ChIJ_Z9strinBJURzkx-d8IB6Ww;Cachoeira do Sul - R27;Vales
Canoas;ChIJ5-EKfAhwGZURIAK3H-J67q4;Canoas - R08;Metropolitana
Capão da Canoa;ChIJ7Trd0raBIpUReRlUjh-euUU;Capão da Canoa - R04 R05;Metropolitana
Caxias do Sul;ChIJsaH95GCVHpURxkxEH8qbOjk;Caxias do Sul - R23 R24 R25 R26;Serra
Cruz Alta;ChIJGzvEMSaW_ZQR38u6WtOK3FU;Cruz Alta - R12;Missioneira
Erechim;ChIJhYhcCsUT45QRivVwQn1rd6U;Erechim - R16;Norte
Estado/País;ChIJA1i0QAxyBJUR3nOfr9uzn60;Rio Grande do Sul;---
Guaíba;ChIJba-BFZJ_GZURsbJ2oe5VsOk;Guaíba - R09;Metropolitana
Ijuí;ChIJHQoc-mAt_JQRO8NefUpb6uc;Ijuí - R13;Missioneira
Lajeado;ChIJdzEmAttjHJURTlUsX7wxMo8;Lajeado - R29 R30;Vales
Novo Hamburgo;ChIJ6U1jt2FCGZURx-ZU0aJWsHk;Novo Hamburgo - R07;Metropolitana
Palmeira das Missões;ChIJfS9z4qj0_JQRJ3HRVXYfAdA;Palmeira das Missões - R15 R20;Norte
Passo Fundo;ChIJq-eMfn6_4pQRTpv0eQeWKLM;Passo Fundo - R17 R18 R19;Norte
Pelotas;ChIJSf4N8XZIEJURizngJZeVzRg;Pelotas - R21;Sul
Porto Alegre;ChIJfQDhiE54GZURvWBPQncXAcc;Porto Alegre - R10;Metropolitana
Santa Cruz do Sul;ChIJ0x405UOjHJURNQVi3ZgGa3o;Santa Cruz do Sul - R28;Vales
Santa Maria;ChIJv2elDV3LA5URl3J_fx6cTaQ;Santa Maria - R01 R02;Centro-Oeste
Santa Rosa;ChIJl2ycwpY1-ZQRhyHv9PIDuYg;Santa Rosa - R14;Missioneira
Santo Ângelo;ChIJ-W5orpCQ_pQROssBw1gjw1Y;Santo Ângelo - R11;Missioneira
Taquara;ChIJJXYAis4YGZUR2_lW3tVkWjM;Taquara - R06;Metropolitana
Uruguaiana;ChIJx3kSZz5bU5QRqJFREtfaxE8;Uruguaiana - R03;Centro-Oeste
